上之園町23-1
上竜尾町
上竜尾町2
上谷口町
下福元町
下福元町3816
中山町
中山町19-1
五ヶ別府町476
伊敷2丁目18
伊敷6丁目3
伊敷7丁目5156
入佐町
入佐町1168-3
加治屋町10-1
南林寺町
吉野町
吉野町9685-15
吉野町他
同好会（上之園町）
同好会（草牟田2丁目）
喜入一倉町
喜入中名町56-1
喜入生見町
喜入町
喜入町6236-1
城山1丁目45-27
城山2丁目
城山町
城山町1-1
城山町12-7
城山町19-9
城山町4
城山町5-1
城山町8-1
天保山町24
宇宿町8丁目7-11
宮之浦町
宮之浦町他
小野3丁目
尚古集成館
山下町
山下町11-1
山下町14
山下町14-50
山下町5-9
山田町
山田町2275
山田町729-6
川上町826-4
川田町
市内一円
市立美術館
平之町6-1
星ヶ峯団地第3公園
春山町
春日町
有屋田町
本名町
本城町
本港新町
東佐多町
東俣町
東千石町
東桜島町
東谷山7丁目15-8　
松原町
桜島小池町
桜島横山町11-1
桜島横山町沖小島2
桜島武町
桜島藤野町
桜島藤野町31-3
武1丁目12-15
永吉1丁目30-1
池之上町
浜町7
清水町
清水町10-2外
玉里町27-20
玉里町27番1号
県立博物館
石谷町
考古歴史館
花尾町
草牟田1丁目
草牟田2丁目57-1
薬師2丁目31-1西田小
西佐多町
西佐多町295
西俣町
西郷南洲顕彰館
谷山中央4丁目158
郡元1丁目21
郡元2丁目
郡山町
鹿児島女子短期大学
鹿児島市
黎明館
黒神町
