小野3丁目
草牟田1丁目
星ヶ峯団地第3公園
草牟田2丁目
清水町外
西鄉南洲頭彰館
都元2丁目
玉里町27番1号
城山1丁目
黎明館
五ヶ別府町476
同好会（上之園町）
西佐多町295
宇宿町8丁目
浜町7
永吉1丁目
考古歴史館
同好会（草羊田2丁目）
菜師2丁目西田小
東谷山7丁目
谷山中央4丁目158
伊教2丁目18
市内一円
都元1丁目21
上竜尾町2
伊教7丁目5156
桜島横山町沖小島2
伊敷6丁目3
下福元町3816
城山2丁目
