城山1丁目45-27
永吉1丁目30-1
吉野町9685-15
草牟田2丁目57-1
平之町6-1
山田町729-6
宮之浦町他
入佐町1168-3
市立美術館
同好会（上之園町）
草牟田1丁目
加治屋町10-1
玉里町27番1号
城山町5-1
西郷南洲顕彰館
武1丁目12-15
考古歴史館
伊敷2丁目18
市内一円
薬師2丁目31-1西田小
城山町19-9
山下町11-1
吉野町他
小野3丁目
桜島横山町沖小島2
西佐多町295
喜入町6236-1
谷山中央4丁目158
伊敷6丁目3
星ヶ峯団地第3公園
黎明館
上之園町23-1
桜島横山町11-1
郡元1丁目21
下福元町3816
喜入中名町56-1
同好会（草牟田2丁目）
県立博物館
城山2丁目
桜島藤野町31-3
山下町5-9
五ヶ別府町476
上竜尾町2
中山町19-1
山田町2275
城山町1-1
川上町826-4
伊敷7丁目5156
東谷山7丁目15-8　
城山町12-7
浜町7
玉里町27-20
城山町8-1
宇宿町8丁目7-11
郡元2丁目
清水町10-2外
山下町14-50
